n	x	y	
285	-73.9926927	40.7240979	;
286	-73.9926444	40.7242313	;
287	-73.9926338	40.7151348	;
288	-73.9926299	40.7584291	;
289	-73.9925837	40.714389	;
290	-73.992566	40.712453	;
291	-73.9925624	40.7240528	;
292	-73.9925251	40.7534779	;
293	-73.992525	40.7687684	;
294	-73.99251	40.724192	;
295	-73.992495	40.7138684	;
296	-73.992463	40.748469	;
297	-73.9923742	40.7150548	;
298	-73.992362	40.7689943	;
299	-73.9922712	40.7124675	;
300	-73.9922513	40.7640441	;
301	-73.992079	40.754091	;
302	-73.9920104	40.7705374	;
303	-73.992006	40.749101	;
304	-73.9919574	40.7098057	;
305	-73.9919069	40.7696238	;
306	-73.9917953	40.7646694	;
307	-73.991777	40.7098319	;
308	-73.9917571	40.7698275	;
309	-73.991692	40.735204	;
310	-73.9916439	40.7699815	;
311	-73.9916033	40.7271144	;
312	-73.991563	40.749706	;
313	-73.9914753	40.7275226	;
314	-73.991422	40.717418	;
315	-73.9914181	40.7702886	;
316	-73.9912602	40.7238048	;
317	-73.9912267	40.7603553	;
318	-73.9911907	40.7705982	;
319	-73.991176	40.717343	;
320	-73.9911357	40.728681	;
321	-73.9911307	40.7146683	;
322	-73.9910568	40.7235993	;
323	-73.991028	40.7281581	;
324	-73.9910068	40.7279995	;
325	-73.9909945	40.7237253	;
326	-73.9909044	40.7241854	;
327	-73.9908358	40.7284023	;
328	-73.990786	40.7700259	;
329	-73.9907703	40.7711833	;
330	-73.9907674	40.7609858	;
331	-73.9907524	40.734816	;
332	-73.9906943	40.7298885	;
333	-73.9906198	40.7285322	;
334	-73.990617	40.7510002	;
335	-73.9905493	40.7191936	;
336	-73.9904721	40.7193451	;
337	-73.9904588	40.7716213	;
338	-73.9904253	40.766548	;
339	-73.9903315	40.771795	;
340	-73.990284	40.7191088	;
341	-73.9902458	40.7144101	;
342	-73.9902048	40.7192589	;
343	-73.9902009	40.714051	;
344	-73.9900092	40.7722297	;
345	-73.9899624	40.7671828	;
346	-73.989916	40.735349	;
347	-73.989902	40.729558	;
348	-73.9898982	40.7344556	;
349	-73.9898199	40.7724911	;
350	-73.9897914	40.7572335	;
351	-73.9896878	40.7522886	;
352	-73.989617	40.747277	;
353	-73.9895958	40.7415497	;
354	-73.9895487	40.7728658	;
355	-73.9894083	40.7628513	;
